#options: 300x532 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=16 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=20.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:134 out:136 type:b dur:2 cpbdur:2 q:26.03 aq:26.55 tex:12298 mv:4883 misc:691 imb:16 pmb:396 smb:234 d:- ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:26.03 aq:24.49 tex:425 mv:151 misc:312 imb:0 pmb:42 smb:604 d:- ref:0 ;
in:141 out:138 type:P dur:2 cpbdur:2 q:26.03 aq:22.49 tex:81723 mv:6817 misc:180 imb:278 pmb:362 smb:6 d:- ref:0 ;
in:139 out:139 type:B dur:2 cpbdur:2 q:26.03 aq:23.85 tex:34662 mv:8146 misc:392 imb:42 pmb:549 smb:55 d:- ref:0 ;
in:138 out:140 type:b dur:2 cpbdur:2 q:26.03 aq:25.44 tex:11970 mv:5034 misc:636 imb:19 pmb:437 smb:190 d:- ref:0 ;
in:140 out:141 type:b dur:2 cpbdur:2 q:26.03 aq:25.99 tex:15335 mv:6069 misc:580 imb:19 pmb:472 smb:155 d:- ref:0 ;
in:145 out:142 type:P dur:2 cpbdur:2 q:26.03 aq:24.76 tex:66798 mv:6829 misc:205 imb:338 pmb:294 smb:14 d:- ref:0 ;
in:143 out:143 type:B dur:2 cpbdur:2 q:26.03 aq:25.28 tex:31279 mv:7769 misc:424 imb:51 pmb:515 smb:80 d:- ref:0 ;
in:142 out:144 type:b dur:2 cpbdur:2 q:26.03 aq:19.73 tex:243 mv:164 misc:329 imb:0 pmb:49 smb:597 d:- ref:0 ;
in:144 out:145 type:b dur:2 cpbdur:2 q:26.03 aq:25.96 tex:27569 mv:8001 misc:438 imb:56 pmb:501 smb:89 d:- ref:0 ;
in:149 out:146 type:P dur:2 cpbdur:2 q:26.03 aq:23.66 tex:67727 mv:6837 misc:140 imb:418 pmb:228 smb:0 d:- ref:0 ;
in:147 out:147 type:B dur:2 cpbdur:2 q:26.03 aq:22.74 tex:47119 mv:10045 misc:188 imb:169 pmb:473 smb:4 d:- ref:0 ;
in:146 out:148 type:b dur:2 cpbdur:2 q:26.03 aq:21.53 tex:211 mv:35 misc:210 imb:0 pmb:14 smb:632 d:- ref:0 ;
in:148 out:149 type:b dur:2 cpbdur:2 q:26.03 aq:24.67 tex:19444 mv:7529 misc:427 imb:65 pmb:493 smb:88 d:- ref:0 ;
in:152 out:150 type:P dur:2 cpbdur:2 q:26.03 aq:23.43 tex:54263 mv:6645 misc:204 imb:353 pmb:281 smb:12 d:- ref:0 ;
in:150 out:151 type:B dur:2 cpbdur:2 q:26.03 aq:24.93 tex:25049 mv:7605 misc:402 imb:102 pmb:476 smb:68 d:- ref:0 ;
in:151 out:152 type:b dur:2 cpbdur:2 q:26.03 aq:23.47 tex:618 mv:57 misc:333 imb:1 pmb:38 smb:607 d:- ref:0 ;
in:155 out:153 type:P dur:2 cpbdur:2 q:26.03 aq:23.21 tex:65123 mv:6687 misc:174 imb:403 pmb:240 smb:3 d:- ref:0 ;
